Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00102621146286421","-0,0188046052722119","0,00508584464388713",0,0,0,"1,67990502595448","0,00257193129712044","1,67068923695678E-09","-3,55430051790077E-08","0,00467566709892528","-6,41265575810464E-08","0,0025903031252896",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/base_link.STL,,Hexa_Nov_2022-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Propeller1,"-3,28623572909414E-07","0,00439679150925019","-6,51437577161518E-07",0,0,0,"0,00751263614529959","1,74309820571611E-05","1,49424727304143E-11","-1,55538106683582E-06","1,77031266704762E-05","2,91143150409736E-11","3,33965410387138E-07",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller1.STL,,APC 8X3.8 Slow Flyer-1,Origin_Propeller1-j,Axis_Propeller1-j,Propeller1-j,continuous,"-0,25512","1,5379E-05","0,032508","1,5708",0,0,base_link,0,1,0,,,,,,,,,,,,
Propeller2,"-3,30508304807742E-07","0,00439649624959344","-1,28018277054109E-06",0,0,0,"0,00751225192359442","1,74308065366492E-05","1,48984506975798E-11","-1,55517937517055E-06","1,77029024807503E-05","1,71764638866531E-11","3,33910655415209E-07",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller2.STL,,APC 8X3.8 Slow Flyer-4,Origin_Propeller2-j,Axis_Propeller2-j,Propeller2-j,continuous,"0,25512","-1,5379E-05","0,032508","1,5708",0,"-0,47125",base_link,0,1,0,,,,,,,,,,,,
Propeller3,"-3,28716170616694E-07","0,00439648670719835","-6,89899096184554E-07",0,0,0,"0,00751231788243411","1,74309000214862E-05","1,49375090080403E-11","-1,55515809108942E-06","1,77029946901512E-05","2,87277787727423E-11","3,33909863839714E-07",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller3.STL,,APC 8X3.8 Slow Flyer-5,Origin_Propeller3-j,Axis_Propeller3-j,Propeller3-j,continuous,"0,12755","-0,22095","0,032508","1,5708",0,"-0,23418",base_link,0,1,0,,,,,,,,,,,,
Propeller4,"-3,28267353771894E-07","0,00439679224022817","-6,12670876226629E-07",0,0,0,"0,00751263238021885","1,74309591882528E-05","1,49387152819401E-11","-1,55538092886439E-06","1,77031038068463E-05","2,9487135387314E-11","3,33965407479089E-07",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller4.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller4.STL,,APC 8X3.8 Slow Flyer-2,Origin_Propeller4-j,Axis_Propeller4-j,Propeller4-j,continuous,"-0,12755","0,22095","0,032508","1,5708",0,0,base_link,0,1,0,,,,,,,,,,,,
Propeller5,"-3,26275975459644E-07","0,00439680740537188","1,94983928225589E-07",0,0,0,"0,00751259115719798","1,74303691851218E-05","1,49729590015606E-11","-1,55538244736272E-06","1,77025137553675E-05","4,00690164245091E-11","3,33965144828296E-07",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller5.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller5.STL,,APC 8X3.8 Slow Flyer-6,Origin_Propeller5-j,Axis_Propeller5-j,Propeller5-j,continuous,"-0,12757","-0,22093","0,032508","1,5708",0,"0,149",base_link,0,1,0,,,,,,,,,,,,
Propeller6,"-3,28496365220587E-07","0,00439679284323045","-6,51267136136946E-07",0,0,0,"0,00751262837869122","1,74309363085296E-05","1,49384614007434E-11","-1,55538077810827E-06","1,77030809295232E-05","2,9107391564994E-11","3,3396539392712E-07",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller6.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Propeller6.STL,,APC 8X3.8 Slow Flyer-3,Origin_Propeller6-j,Axis_Propeller6-j,Propeller6-j,continuous,"0,12758","0,22093","0,032508","1,5708",0,0,base_link,0,1,0,,,,,,,,,,,,
Spur-rack1,"0,00631689422386883","0,0228058904998909","-0,0335118083435153",0,0,0,"0,0397845645111195","5,04475177999414E-05","1,64683468841987E-06","-2,94988196511607E-06","2,23831113476059E-05","1,51780907101344E-06","3,67617732004022E-05",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Spur-rack1.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Spur-rack1.STL,,Rack_spur-1,Origin_Spur-rack1-j,,Spur-rack1-j,prismatic,"-0,07","-0,024","-0,083",0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Spur-rack2,"0,00631689422386877","0,022805890499891","-0,0335118083435153",0,0,0,"0,0397845645111194","5,04475177999414E-05","1,64683468841986E-06","-2,94988196511606E-06","2,23831113476059E-05","1,51780907101344E-06","3,67617732004021E-05",0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Spur-rack2.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://Hexa_nov_V2/meshes/Spur-rack2.STL,,Rack_spur-2,Origin_Spur-rack2-j,,Spur-rack2-j,prismatic,"0,07","0,024","-0,083",0,0,"3,1416",base_link,0,0,0,0,0,0,0,,,,,,,,
